gene,log2FC,pvalue,padj,significant
ENSG00000106615,0.3105687241776944,0.405678895320547,0.5281511831020989,0
ENSG00000106617,0.2699865343177617,0.3846730627714421,0.5131162415892118,0
ENSG00000106624,0.6682699773627675,0.02334220202334447,0.10851954591224756,0
ENSG00000106628,0.38197731199563695,0.02334220202334447,0.10851954591224756,0
ENSG00000106633,0.4894492137189189,0.12122450304104815,0.2526301674773118,0
ENSG00000106635,0.33786963875638387,0.3643461266698109,0.4914536655484717,0
ENSG00000106636,0.4124822324335773,0.03429372105008355,0.1290827014153032,0
ENSG00000106638,0.46104521239050095,0.03763531380176355,0.13770252615706696,0
ENSG00000106665,0.2505359533722275,0.22647606607859094,0.36191025841794766,0
ENSG00000106682,0.3102795032677803,0.19876460640717797,0.33444334580937335,0
ENSG00000106683,0.2577415273923818,0.49629170226364927,0.6064413531202499,0
ENSG00000106686,0.546712777802851,0.006501702377128327,0.06985420096938734,0
ENSG00000106688,0.22290783523957153,0.7623688184872623,0.8206743657414851,0
ENSG00000106689,0.6517862766745672,0.0019397281144371004,0.05667212870481151,0
ENSG00000106692,0.4522300034579149,0.006501702377128327,0.06985420096938734,0
ENSG00000106701,-0.046033801507420105,0.3643461266698109,0.4914536655484717,0
ENSG00000106714,0.653360375935557,0.006501702377128327,0.06985420096938734,0
ENSG00000106723,0.27002008991951437,0.17361733445746297,0.30771802504606466,0
ENSG00000106733,0.14574945271793432,0.49629170226364927,0.6064413531202499,0
ENSG00000106771,0.18308220611631032,0.25683925799381546,0.3911626085941248,0
ENSG00000106772,0.137508573178791,0.6501474441195367,0.7318730758503017,0
ENSG00000106780,0.12013053330904135,0.49629170226364927,0.6064413531202499,0
ENSG00000106785,0.3512856899126259,0.17361733445746297,0.30771802504606466,0
ENSG00000106789,0.3918007907084626,0.2899184539790305,0.42346650145547243,0
ENSG00000106799,0.440033052332112,0.015564411394457967,0.0920759360922854,0
ENSG00000106803,0.4355684412391084,0.04936619476911441,0.15432411743095734,0
ENSG00000106804,0.453766972862188,0.0031970994502392713,0.060626119370268884,0
ENSG00000106823,0.8930847960834879,0.17361733445746297,0.30771802504606466,0
ENSG00000106829,0.31176252889924555,0.012611144106014827,0.08452034736860742,0
ENSG00000106852,0.5279315556847773,0.32575135451528814,0.4564789556354074,0
ENSG00000106853,0.21276119935257018,0.2899184539790305,0.42346650145547243,0
ENSG00000106868,0.367062320432377,0.11241058468252252,0.23932699558046078,0
ENSG00000106948,0.2981530272987359,0.03429372105008355,0.1290827014153032,0
ENSG00000106976,0.26781791750941464,0.09630369205385092,0.2193359994218648,0
ENSG00000106991,0.8915715456068547,0.017257456091552825,0.09904623491553907,0
ENSG00000106992,0.4154083243781451,0.11241058468252252,0.23932699558046078,0
ENSG00000106993,0.1595635107588482,0.9097218891523506,0.9336874801591545,0
ENSG00000107014,0.028014376169596785,0.7623688184872623,0.8206743657414851,0
ENSG00000107018,-0.20780488511340164,0.6231762239083831,0.7133911717880214,0
ENSG00000107020,0.38590872078918426,0.05878172137447146,0.16870320310020426,0
ENSG00000107021,0.3681460784963521,0.09630369205385092,0.2193359994218648,0
ENSG00000107036,0.300252724528048,0.0031970994502392713,0.060626119370268884,0
ENSG00000107077,0.2493816447985141,0.03429372105008355,0.1290827014153032,0
ENSG00000107099,0.1734485479392678,0.4496917980031534,0.5666914173546389,0
ENSG00000107104,0.4916290488098886,0.0031970994502392713,0.060626119370268884,0
ENSG00000107105,0.047889679628742195,0.7623688184872623,0.8206743657414851,0
ENSG00000107130,0.2187473271861772,0.49629170226364927,0.6064413531202499,0
ENSG00000107140,0.3495608940280176,0.0820987086774072,0.2012794453479033,0
ENSG00000107147,0.6032161941714633,0.0820987086774072,0.2012794453479033,0
ENSG00000107159,0.23446525363702272,0.47267559354505595,0.5888316538374808,0
ENSG00000107164,0.4980824140982916,0.0005828399437390885,0.05667212870481151,0
ENSG00000107165,0.8226185116034572,0.06964240481943329,0.1840938310445641,0
ENSG00000107175,0.42957964948510874,0.04125001660927485,0.14156770244664965,0
ENSG00000107185,0.3732606542657305,0.012611144106014827,0.08452034736860742,0
ENSG00000107186,0.31531655872836223,0.05878172137447146,0.16870320310020426,0
ENSG00000107187,0.5476732833402344,0.25683925799381546,0.3911626085941248,0
ENSG00000107201,0.5195633951368034,0.028365505617170772,0.11838445294454787,0
ENSG00000107223,0.3732544033935345,0.0820987086774072,0.2012794453479033,0
ENSG00000107242,0.13129715469386175,0.49629170226364927,0.6064413531202499,0
ENSG00000107249,0.791110770555793,0.000506541485188805,0.05667212870481151,0
ENSG00000107262,0.3926927824897079,0.11241058468252252,0.23932699558046078,0
ENSG00000107263,0.47871575016989204,0.000880743191536304,0.05667212870481151,0
ENSG00000107281,0.48648607467809696,0.012611144106014827,0.08452034736860742,0
ENSG00000107282,0.22852427349098522,0.2899184539790305,0.42346650145547243,0
ENSG00000107290,0.3181632747067827,0.028365505617170772,0.11838445294454787,0
ENSG00000107295,0.19485067806488374,0.7623688184872623,0.8206743657414851,0
ENSG00000107317,0.8552986891203138,0.004071994220531172,0.06357597967785622,0
ENSG00000107331,0.41582431332198466,0.0820987086774072,0.2012794453479033,0
ENSG00000107338,0.452006758509073,0.007284557013899073,0.07435160525791985,0
ENSG00000107341,0.3357031502824459,0.04125001660927485,0.14156770244664965,0
ENSG00000107362,0.16934665104735958,0.3643461266698109,0.4914536655484717,0
ENSG00000107371,0.26394014723063935,0.07566157216600344,0.19541999618092504,0
ENSG00000107372,0.28401849081790215,0.11241058468252252,0.23932699558046078,0
ENSG00000107404,0.3584899846362371,0.1305700181448164,0.2601415719163731,0
ENSG00000107438,0.40304993516239435,0.04936619476911441,0.15432411743095734,0
ENSG00000107443,0.36346683167668953,0.17361733445746297,0.30771802504606466,0
ENSG00000107518,0.2570825386315829,0.49629170226364927,0.6064413531202499,0
ENSG00000107521,0.4456835781269031,0.04936619476911441,0.15432411743095734,0
ENSG00000107537,0.3789845915040037,0.21229383622689113,0.3516252851934972,0
ENSG00000107551,0.6675327983277625,0.006501702377128327,0.06985420096938734,0
ENSG00000107554,0.29854555318793036,0.006501702377128327,0.06985420096938734,0
ENSG00000107560,0.2328921124033682,0.25683925799381546,0.3911626085941248,0
ENSG00000107562,0.5301882781769913,0.0820987086774072,0.2012794453479033,0
ENSG00000107566,0.3324694928317784,0.1305700181448164,0.2601415719163731,0
ENSG00000107581,0.37151502835321626,0.025748080832299403,0.11582931614702746,0
ENSG00000107593,-0.08782053916448476,0.9397429895816196,0.952153109269038,0
ENSG00000107611,0.40730038628537846,0.005795358548033702,0.06985420096938734,0
ENSG00000107614,0.3316328312453558,0.0031970994502392713,0.060626119370268884,0
ENSG00000107625,0.18081894904074564,0.17361733445746297,0.30771802504606466,0
ENSG00000107643,0.2028326107532759,0.15092695009759893,0.2828975476499659,0
ENSG00000107651,0.23967719992519448,0.05878172137447146,0.16870320310020426,0
ENSG00000107669,0.3621661655871731,0.015564411394457967,0.0920759360922854,0
ENSG00000107672,0.36992711088030716,0.019109922215918784,0.0995993695487728,0
ENSG00000107679,0.15038221178439085,0.1305700181448164,0.2601415719163731,0
ENSG00000107719,0.6668793216358405,0.006501702377128327,0.06985420096938734,0
ENSG00000107731,0.44910805019978894,0.04125001660927485,0.14156770244664965,0
ENSG00000107736,0.5977674711801115,0.006501702377128327,0.06985420096938734,0
ENSG00000107738,1.0735756086762613,0.000439638753066518,0.05667212870481151,0
ENSG00000107742,0.2470287674241724,0.49629170226364927,0.6064413531202499,0
ENSG00000107745,0.17771703062387867,0.405678895320547,0.5281511831020989,0
ENSG00000107758,0.1705760409536802,0.49629170226364927,0.6064413531202499,0
ENSG00000107771,0.11410729418268031,0.7623688184872623,0.8206743657414851,0
ENSG00000107779,0.14837851128608773,0.32575135451528814,0.4564789556354074,0
ENSG00000107789,0.2950047099916545,0.17361733445746297,0.30771802504606466,0
ENSG00000107796,0.4263655050803568,0.3447042220434273,0.47718297552303546,0
ENSG00000107798,0.48386210756672965,0.05878172137447146,0.16870320310020426,0
