gene,spearman_rho,pvalue,padj,trend_significant
ENSG00000172059,-0.05039898069667169,0.7588775324073938,0.9464186690995898,0
ENSG00000172062,-0.036746169746446324,0.8230146485120633,0.9615818346729441,0
ENSG00000172071,-0.05393497690257528,0.7424944244126364,0.9425691771069086,0
ENSG00000172081,0.16379919902146098,0.3124986935023526,0.7688312583252979,0
ENSG00000172086,0.1311475718691167,0.42099873216027106,0.8293313608563203,0
ENSG00000172113,0.2268540209097824,0.15653034348403416,0.6432555689414947,0
ENSG00000172115,-0.13953401198911888,0.39136895615095746,0.8162194889725463,0
ENSG00000172123,0.06947398967421162,0.6718449065553638,0.9188639984012883,0
ENSG00000172137,-0.06292095521906335,0.701354174083662,0.9293918199830756,0
ENSG00000172159,0.21187247709596918,0.18726669324681033,0.6735480747276755,0
ENSG00000172164,0.31148494412727584,0.046164904591278644,0.4317690294575993,0
ENSG00000172167,0.2154372362369056,0.17960701640718701,0.6680770231375615,0
ENSG00000172171,0.21378639297719126,0.18312704024719917,0.6699631118271782,0
ENSG00000172172,0.06569738135608694,0.6887980157045892,0.9257633411162252,0
ENSG00000172175,0.13254459754895503,0.41598071864628094,0.8266571789652295,0
ENSG00000172179,0.46284458102451703,0.0014929657056779178,0.0985278581277469,0
ENSG00000172183,0.13871101241175612,0.3942238902906483,0.8169728034794743,0
ENSG00000172197,0.46428748852920687,0.001429318580006722,0.09610246323421541,0
ENSG00000172201,0.41776587709401364,0.0051589535134384246,0.17484518330368817,0
ENSG00000172209,-0.15342948830538064,0.34493570411395735,0.7901929610672308,0
ENSG00000172215,0.026761766896119848,0.8706414234022044,0.9707160947893068,0
ENSG00000172216,0.2033845611428487,0.2063917615048787,0.6892007723963789,0
ENSG00000172239,0.13911593255244736,0.392817800885535,0.8167081903281614,0
ENSG00000172243,0.36041013459055177,0.018761329613146138,0.31097307904838384,0
ENSG00000172244,-0.01041978333657477,0.949460322763565,0.9894624340517402,0
ENSG00000172247,0.39149350525349086,0.009655510455866878,0.23323872772283916,0
ENSG00000172250,0.026285081582716256,0.8729274161812732,0.9709065373237391,0
ENSG00000172260,0.07765825536173433,0.6356371094847542,0.9092426741490383,0
ENSG00000172262,0.16009647230557025,0.323861322617923,0.7767809623013756,0
ENSG00000172264,-0.24307323408321477,0.12744056798449366,0.610406642364641,0
ENSG00000172269,0.09314605190350973,0.5693158807018934,0.884852527039138,0
ENSG00000172270,0.1021159024070181,0.5323577764646634,0.8705496275542363,0
ENSG00000172273,0.19598465444249738,0.22409758110548395,0.7053905331671142,0
ENSG00000172292,-0.09020520361806679,0.5816728065544319,0.8914159817130967,0
ENSG00000172296,0.019651722664987024,0.9048318258268286,0.9798706467018586,0
ENSG00000172301,-0.0015156146610219798,0.9926442989882558,0.9988571142874866,0
ENSG00000172315,0.2456465333123378,0.12320971803310643,0.6051888044569624,0
ENSG00000172318,0.192022417742453,0.23397750402471895,0.71075798471656,0
ENSG00000172322,0.3951104323094842,0.00889049266405495,0.22529287034089368,0
ENSG00000172331,-0.04588654042680339,0.7799292428253093,0.9512782069918247,0
ENSG00000172336,0.12147051963373989,0.45664147870287675,0.8436873232214097,0
ENSG00000172339,0.255354378156542,0.10815966934412047,0.5794416840821401,0
ENSG00000172340,0.5275918352766654,0.0001582330951668265,0.0384245259836181,1
ENSG00000172345,0.039154578105870565,0.8116090421879698,0.9585503254300498,0
ENSG00000172346,-0.21238435382913076,0.18615335463894578,0.6735480747276755,0
ENSG00000172348,-0.11842100043720727,0.46818745323067246,0.8491881493985193,0
ENSG00000172349,0.22509961725484465,0.15993407687268046,0.645307790023905,0
ENSG00000172350,0.1500905177650747,0.3557856122245959,0.7944387530582356,0
ENSG00000172354,0.09564051136793872,0.5589259249900831,0.8825983228158997,0
ENSG00000172361,-0.030221537471832136,0.8540805739993536,0.9675328003762959,0
ENSG00000172366,0.017822439970107913,0.9136570703559115,0.9822370903737103,0
ENSG00000172367,-0.20455860194366493,0.20367139101963327,0.687119709454858,0
ENSG00000172375,0.029580617177187605,0.8571442129047164,0.9684284982893947,0
ENSG00000172379,0.4346980942792101,0.003323869370769117,0.14277782134005054,0
ENSG00000172380,0.204618335727192,0.20353362861463875,0.687119709454858,0
ENSG00000172382,-0.08064115248127292,0.6226318778551732,0.9051594611399937,0
ENSG00000172399,-0.14251456422446696,0.38112679454481757,0.810581868203771,0
ENSG00000172403,-0.22262730002758294,0.16481782291843272,0.6522043291414624,0
ENSG00000172409,0.0774283095557788,0.6366440231603137,0.9092426741490383,0
ENSG00000172425,0.12764246755243824,0.4337315812863709,0.8339278497041257,0
ENSG00000172426,0.2522934913984476,0.11275166680043003,0.5880944808067772,0
ENSG00000172428,0.12245121209567236,0.45295998904631474,0.8421238675506615,0
ENSG00000172432,0.11110461029545571,0.4964834147951003,0.8606858178646106,0
ENSG00000172456,0.1718916075896997,0.2885202171372061,0.7539930697979103,0
ENSG00000172458,0.44604816110190015,0.0024335508783084325,0.1244743856201442,0
ENSG00000172460,-0.040825336610083786,0.8037181458599996,0.9563628713682939,0
ENSG00000172461,-0.196726287529285,0.22227934829624463,0.7043603632594089,0
ENSG00000172465,-0.15611621170296872,0.3363481013568792,0.7843396531961575,0
ENSG00000172466,0.09574019099777746,0.5585125050759048,0.8822753285974405,0
ENSG00000172469,0.14063858802793613,0.38755547243988864,0.8141040964698493,0
ENSG00000172476,0.2861370790331602,0.0693010431633132,0.5054994726161534,0
ENSG00000172493,0.3615341928616946,0.018340568270272417,0.31028053303392245,0
ENSG00000172497,0.06081350819362899,0.7109354406046424,0.9318234508317399,0
ENSG00000172500,0.13577129705907523,0.4045158005141032,0.820846114105042,0
ENSG00000172508,0.006591091765663287,0.9680190487552536,0.9933889218516454,0
ENSG00000172530,0.07997388294745786,0.6255319182719623,0.9062448012157506,0
ENSG00000172531,0.19641269621016286,0.22304697546998709,0.7046672919610101,0
ENSG00000172534,0.1021159024070181,0.5323577764646634,0.8705496275542363,0
ENSG00000172548,-0.18979666989541666,0.23965034183242317,0.7161937955614763,0
ENSG00000172554,0.06093816188798719,0.7103675308070385,0.931777443164543,0
ENSG00000172568,0.07320095581412628,0.6552637047957754,0.9131885214517174,0
ENSG00000172572,-0.06542943183909246,0.6900064262414647,0.9260807433543418,0
ENSG00000172575,0.18176003509294214,0.26087254249629677,0.7330574129780221,0
ENSG00000172578,0.11219524126043302,0.4922129939582691,0.8588831732164244,0
ENSG00000172586,-0.023998240542083545,0.8839074540240663,0.9745002437693607,0
ENSG00000172590,0.050142654732676505,0.7600691204187009,0.9466394177376448,0
ENSG00000172594,0.33611398746320126,0.029946626339760307,0.36613992887921026,0
ENSG00000172602,-0.12586102034339314,0.4402805777031342,0.836545458263186,0
ENSG00000172613,0.04855193172722135,0.7674755592807645,0.9487391123964378,0
ENSG00000172638,0.5826366220947424,1.296788153481998e-05,0.009915862193747498,1
ENSG00000172650,0.08536998101170015,0.6022358039672076,0.8978842376250032,0
ENSG00000172661,0.074474168688149,0.6496343496357624,0.9112587265486899,0
ENSG00000172663,0.30165958011789196,0.05428208078288188,0.462037576776085,0
ENSG00000172667,-0.09835318747697444,0.5477242118420427,0.8780719129978959,0
ENSG00000172671,0.3320763984873676,0.03223658589412315,0.37642459681783763,0
ENSG00000172687,-0.06847437036677764,0.6763176657569996,0.9211374687937002,0
ENSG00000172716,0.07978095906962758,0.6263713869082621,0.9062448012157506,0
ENSG00000172717,0.20545383634827863,0.20161329210932477,0.6864318232485013,0
ENSG00000172725,0.3532771239874321,0.021617894411610106,0.3275025893538413,0
ENSG00000172728,0.31039801381648846,0.04701317512086112,0.43487186986796533,0
ENSG00000172731,-0.05048820237866347,0.7584628889551404,0.9464186690995898,0
ENSG00000172732,0.22131334666636376,0.16745510863695623,0.655300909379499,0
ENSG00000172733,-0.03543402552320353,0.829243271591585,0.9629807253895857,0
ENSG00000172738,0.1613499094146712,0.3199874656427917,0.7742255663849403,0
ENSG00000172748,0.19379943521747842,0.2295118751203935,0.7076335036877253,0
ENSG00000172757,-0.01985877324189707,0.9038335862061508,0.9798706467018586,0
ENSG00000172765,0.0803757717000992,0.6237846157627116,0.9052042706809551,0
ENSG00000172766,-0.0930226746594126,0.5698319649209658,0.8850920391606033,0
ENSG00000172771,0.05614421480067421,0.7323121701470385,0.9390923358889876,0
ENSG00000172775,0.18819753083931548,0.24378083515324311,0.719691627404366,0
ENSG00000172780,0.04697937079385616,0.7748166739550717,0.9504650617564265,0
ENSG00000172782,-0.15952960180107278,0.32562248396800353,0.7775670014323716,0
ENSG00000172785,0.0253499148116884,0.8774149211494813,0.9727456927846121,0
ENSG00000172794,-0.13838429353827222,0.3953604655481542,0.8174004404402665,0
ENSG00000172795,0.10828257409792297,0.5076169491056013,0.8630050574182174,0
ENSG00000172803,-0.2167548386063336,0.17683106010300675,0.6640366388099752,0
ENSG00000172809,0.3081245448269082,0.04882671505252745,0.44115376644297,0
ENSG00000172817,0.11603466161226443,0.4773251049732532,0.852092520844888,0
ENSG00000172819,0.19840881778385397,0.2181905545363534,0.7014922630922997,0
ENSG00000172824,0.15942506077761207,0.32594789872807484,0.7775670014323716,0
